KIC,T0,e_T0,E_T0,noise_jenkins,flag
2707504,0.07151288746221633,0.12383455895921809,0.023719554825396883,121.95004243318289,0
3124224,0.11448816827452947,0.0026599315623547777,0.0026112742778148764,136.88752130081954,0
3222610,0.025499281899804854,0.08197598778573706,0.01796636853908294,180.2534244445758,0
3757251,0.15160992063971446,0.09319508298761094,0.03982502636668086,437.0983843540009,0
3954961,0.6195098046811963,0.06703480938282834,0.04107216773881346,230.95228894591435,0
4175216,0.7597661000819156,0.06926523307110344,0.06614777363994084,131.11102348879595,0
4264634,0.6770160416834567,0.02310275732830644,0.06982966683061782,228.13671776035514,1
4283417,0.5573229908708915,0.1664322522251033,0.08262911279428867,305.86377636389034,0
4373708,0.27109485304958036,0.009517644190317382,0.1667983330820247,229.25734157248775,1
4641549,1.1228037486164104,0.05853575918671417,0.11839623145253639,431.81509192622474,0
4859400,0.04864816923266849,0.1528507389082726,0.07335145153533079,143.17966409870587,0
4862155,0.6404249182676496,0.02214749791936431,0.05963125927861862,137.02692640034076,0
4916039,0.023706918944036343,0.003540628794260848,0.18168942670319513,342.14908951436445,0
4930913,0.030456616421842917,0.09266302685626913,0.009054062809238596,140.2073328216899,0
4945547,0.4978740968399667,0.0028377973775669516,0.03279671676722172,185.02006975969203,0
4996173,0.3013702315648607,0.021398258028359197,0.02576172003231841,27.4154579388444,0
5006208,1.0200987159875077,0.05496770854059863,0.042900354792673956,127.39400561677641,0
5032343,0.47322225221442166,0.031399777548514626,0.01517059527801805,271.89967025928684,0
5077772,0.217833375340241,0.008963767314952747,0.015539439022543393,332.90791457488996,0
5264764,0.29066118737465657,0.0033478167350625846,0.08548269902543816,287.34594165672235,0
5440365,1.0559863882447538,0.005398490144815625,0.002691187624501922,158.51627281435364,1
5560359,1.1402377565963058,0.08323567292031143,0.027226876949961048,71.59192170942401,0
5621528,0.17766261977421985,0.020433691330297342,0.06422017275252406,511.91820110437124,0
5622796,0.003985922843263999,1.0119409823195444,0.02332823448323127,149.1529041290907,1
5697777,0.03289735083586554,0.024187337958920373,0.021565461452446977,86.79621432112202,1
5731359,0.1847552404667926,0.014345894645122415,0.01615721575176,423.0853132214116,0
5808416,1.2274336406294435,0.15939663161637976,0.06639225225513501,318.2337579544966,0
5881377,0.34402374871152747,0.05891962194632462,0.0023485154572758867,513.9585792544319,0
5937264,0.09190218772977503,0.009416815225542495,0.05336195294462698,203.92165887089016,0
5938531,0.08982050419251052,0.031312719392518236,0.07024852726252015,507.0627446327932,0
5963360,1.4540513752024133,0.02408832714449792,0.20004248643991548,110.29551366952141,0
6370174,0.019200565903821177,0.06928387579753346,0.03537215381013908,386.94801423137017,0
6876614,0.09609574850495414,0.10912083480433678,0.10742509533567089,462.645720759103,0
7023973,0.07105938237105439,0.028564363622599467,0.042779417299810704,48.546595883327036,0
7379583,0.028731615945846018,0.027182517965596738,0.031212466728346783,249.97767788897755,1
7511885,0.42191433921534804,0.07293082451670818,0.06130102090537544,221.0301939204937,0
7663830,0.17812214081638963,0.004327926067642973,0.013186649737341257,392.68280597096503,0
7668857,0.0032856528801318975,0.08563493683749543,0.07781332998277532,153.4539665774495,0
